      2012-04-23      2606.04      2606.04      2606.04      2606.04      000      2606.04
      2012-04-24      2604.87      2604.87      2604.87      2604.87      000      2604.87
      2012-04-25      2625.99      2625.99      2625.99      2625.99      000      2625.99
      2012-04-26      2631.49      2631.49      2631.49      2631.49      000      2631.49
      2012-04-27      2626.16      2626.16      2626.16      2626.16      000      2626.16
      2012-04-30      2626.16      2626.16      2626.16      2626.16      000      2626.16
      2012-05-01      2626.16      2626.16      2626.16      2626.16      000      2626.16
      2012-05-02      2683.49      2683.49      2683.49      2683.49      000      2683.49
      2012-05-03      2691.52      2691.52      2691.52      2691.52      000      2691.52
      2012-05-04      2715.88      2715.88      2715.88      2715.88      000      2715.88
      2012-05-07      2717.78      2717.78      2717.78      2717.78      000      2717.78
      2012-05-08      2709.12      2709.12      2709.12      2709.12      000      2709.12
      2012-05-09      2657.51      2657.51      2657.51      2657.51      000      2657.51
      2012-05-10      2657.21      2657.21      2657.21      2657.21      000      2657.21
      2012-05-11      2636.92      2636.92      2636.92      2636.92      000      2636.92
      2012-05-14      2615.53      2615.53      2615.53      2615.53      000      2615.53
      2012-05-15      2617.37      2617.37      2617.37      2617.37      000      2617.37
      2012-05-16      2574.65      2574.65      2574.65      2574.65      000      2574.65
      2012-05-17      2613.94      2613.94      2613.94      2613.94      000      2613.94
      2012-05-18      2573.98      2573.98      2573.98      2573.98      000      2573.98
      2012-05-21      2587.23      2587.23      2587.23      2587.23      000      2587.23
      2012-05-22      2627.52      2627.52      2627.52      2627.52      000      2627.52
      2012-05-23      2616.87      2616.87      2616.87      2616.87      000      2616.87
      2012-05-24      2595.26      2595.26      2595.26      2595.26      000      2595.26
      2012-05-25      2573.10      2573.10      2573.10      2573.10      000      2573.10
      2012-05-28      2614.69      2614.69      2614.69      2614.69      000      2614.69
      2012-05-29      2650.85      2650.85      2650.85      2650.85      000      2650.85
      2012-05-30      2642.26      2642.26      2642.26      2642.26      000      2642.26
      2012-05-31      2632.04      2632.04      2632.04      2632.04      000      2632.04
      2012-06-01      2633.00      2633.00      2633.00      2633.00      000      2633.00
      2012-06-04      2559.03      2559.03      2559.03      2559.03      000      2559.03
      2012-06-05      2558.84      2558.84      2558.84      2558.84      000      2558.84
      2012-06-06      2557.40      2557.40      2557.40      2557.40      000      2557.40
      2012-06-07      2542.18      2542.18      2542.18      2542.18      000      2542.18
      2012-06-08      2524.33      2524.33      2524.33      2524.33      000      2524.33
      2012-06-11      2558.26      2558.26      2558.26      2558.26      000      2558.26
      2012-06-12      2540.18      2540.18      2540.18      2540.18      000      2540.18
      2012-06-13      2580.64      2580.64      2580.64      2580.64      000      2580.64
      2012-06-14      2560.42      2560.42      2560.42      2560.42      000      2560.42
      2012-06-15      2568.05      2568.05      2568.05      2568.05      000      2568.05
      2012-06-18      2581.21      2581.21      2581.21      2581.21      000      2581.21
      2012-06-19      2558.62      2558.62      2558.62      2558.62      000      2558.62
      2012-06-20      2552.61      2552.61      2552.61      2552.61      000      2552.61
      2012-06-21      2512.19      2512.19      2512.19      2512.19      000      2512.19
      2012-06-22      2512.19      2512.19      2512.19      2512.19      000      2512.19
      2012-06-25      2456.52      2456.52      2456.52      2456.52      000      2456.52
      2012-06-26      2454.92      2454.92      2454.92      2454.92      000      2454.92
      2012-06-27      2447.20      2447.20      2447.20      2447.20      000      2447.20
      2012-06-28      2425.73      2425.73      2425.73      2425.73      000      2425.73
      2012-06-29      2461.61      2461.61      2461.61      2461.61      000      2461.61
      2012-07-02      2465.24      2465.24      2465.24      2465.24      000      2465.24
      2012-07-03      2468.72      2468.72      2468.72      2468.72      000      2468.72
      2012-07-04      2464.92      2464.92      2464.92      2464.92      000      2464.92
      2012-07-05      2430.37      2430.37      2430.37      2430.37      000      2430.37
      2012-07-06      2472.61      2472.61      2472.61      2472.61      000      2472.61
      2012-07-09      2416.04      2416.04      2416.04      2416.04      000      2416.04
      2012-07-10      2406.71      2406.71      2406.71      2406.71      000      2406.71
      2012-07-11      2425.57      2425.57      2425.57      2425.57      000      2425.57
      2012-07-12      2449.18      2449.18      2449.18      2449.18      000      2449.18
      2012-07-13      2450.63      2450.63      2450.63      2450.63      000      2450.63
      2012-07-16      2399.73      2399.73      2399.73      2399.73      000      2399.73
      2012-07-17      2414.20      2414.20      2414.20      2414.20      000      2414.20
      2012-07-18      2414.33      2414.33      2414.33      2414.33      000      2414.33
