1,1,0,1.1,0.3
1,2,0,1.1,0.3
1,3,0,1.1,0.3
1,4,0,1.1,0.3
1,5,0,1.1,0.3
1,6,0,1.1,0.3
1,7,0,1.1,0.3
1,8,0,1.1,0.3
1,9,0,1.1,0.3
1,10,0,1.1,0.3
1,11,0,1.1,0.3
1,12,0,1.1,0.3
1,1,1000,1.1,0.3
1,2,1000,1.1,0.3
1,3,1000,1.1,0.3
1,4,1000,1.1,0.3
1,5,1000,1.1,0.3
1,6,1000,1.1,0.3
1,7,1000,1.1,0.3
1,8,1000,1.1,0.3
1,9,1000,1.1,0.3
1,10,1000,1.1,0.3
1,11,1000,1.1,0.3
1,12,1000,1.1,0.3
1,1,10000,1.1,0.3
1,2,10000,1.1,0.3
1,3,10000,1.1,0.3
1,4,10000,1.1,0.3
1,5,10000,1.1,0.3
1,6,10000,1.1,0.3
1,7,10000,1.1,0.3
1,8,10000,1.1,0.3
1,9,10000,1.1,0.3
1,10,10000,1.1,0.3
1,11,10000,1.1,0.3
1,12,10000,1.1,0.3

